Month,Date,Reading  A,Reading  B,Study
1,1  Wed.,太 1,創 1-2,
1,2  Thurs.,太 2,創 3-4,
1,3  Fri.,太 3,創 5-6,信息分享
1,4  Sat.,詩 1,創  7-8,
1,5  Sun.,詩 2,創 9-10,
1,6  Mon.,太 4,創 11-12,
1,7  Tues.,太 5,創 13-14,
1,8  Wed.,太 6 ,創 15-16,
1,9  Thurs.,太 7 ,創 17-18,
1,10  Fri.,太 8,創 19-20,提後 1
1,11  Sat.,詩 3,創 21-22,
1,12  Sun.,詩 4,創 23-24,
1,13  Mon.,太 9,創 25-26,
1,14  Tues.,太 10,創 27-28,
1,15  Wed.,太 11 ,創 29-30,
1,16  Thurs.,太 12 ,創 31-32,
1,17  Fri.,太 13,創 33-34,提後  2
1,18  Sat.,詩  5,創 35-36,
1,19  Sun.,詩  6,創 37-38,
1,20  Mon.,太 14,創 39-40,
1,21  Tues.,太 15,創 41-42,
1,22  Wed.,太 16,創 43-44,
1,23  Thurs.,太 17,創 45-46,
1,24  Fri.,太 18,創 47-48,提後  3
1,25  Sat.,詩 7,創 49-50,
1,26  Sun.,詩  8,出 1-2,
1,27  Mon.,太 19,出 3-4,
1,28  Tues.,太 20,出 5-6,
1,29  Wed.,太 21,出 7-8,
1,30  Thurs.,太 22,出 9-10,
1,31   Fri.,太 23,出11-12,提後  4
2,1  Sat.,詩 9,出 13-14,
2,2  Sun.,詩 10,出 15-16,
2,3  Mon.,太 24,出 17-18,
2,4  Tues.,太 25,出 19-20,
2,5  Wed.,太 26 ,出 21-22,
2,6  Thurs.,太 27 ,出 23-24,
2,7  Fri.,太 28,出 25-26,溫習
2,8  Sat. ,詩 11,出 27-28,
2,9  Sun. ,詩 12,出 29-30,
2,10  Mon.,可  1,出 31-32,
2,11  Tues.,可  2,出 33-34,
2,12  Wed.,可 3,出 35-36,
2,13  Thurs.,可  4,出 37-38,
2,14  Fri.,可  5,出 39-40,創 1
2,15  Sat. ,詩 13,利 1-2,
2,16  Sun. ,詩 14,利 3-4,
2,17  Mon.,可  6,利 5-6,
2,18  Tues.,可 7,利 7-8,
2,19  Wed.,可  8,利 9-10,
2,20  Thurs.,可  9,利 11-12,
2,21  Fri.,可  10,利 13-14,創 2
2,22  Sat. ,詩 15,利 15-16,
2,23  Sun. ,詩 16,利 17-18,
2,24  Mon.,可 11,利 19-20,
2,25  Tues.,可  12,利 21-22,
2,26  Wed.,可  13,利 23-24,
2,27  Thurs.,可  14,利 25-27,
2,28  Fri.,可  15,民1-2,創 3
2,29  Sat. ,詩 17,民 3-4,
3,1  Sun.,詩 18,民 5-6,
3,2  Mon.,可  16,民 7,
3,3  Tues.,路 1:1-38,民 8-9,
3,4  Wed.,路 1:39-80,民 10,
3,5  Thurs.,路 2,民 11~12,
3,6  Fri.,路 3,民 13-14,創 4
3,7  Sat.,詩 19,民15-16,
3,8  Sun.,詩 20,民 17-18,
3,9  Mon.,路 4,民19-20,
3,10  Tues.,路 5,民 21-22,
3,11  Wed.,路 6,民 23-24,
3,12  Thurs.,路 7,民 25-26,
3,13  Fri.,路 8,民 27-28,創 5-6
3,14  Sat.,詩 21,民 29-30,
3,15  Sun.,詩 22,民 31-32,
3,16  Mon.,路 9,民 33-34,
3,17  Tues.,路 10,民35-36,
3,18  Wed.,路 11, 申 1-2,
3,19  Thurs.,路 12, 申 3-4,
3,20  Fri.,路 13, 申 5-6,創 7-8
3,21  Sat.,詩 23, 申7-8,
3,22  Sun.,詩 24, 申 9-10,
3,23  Mon.,路 14, 申 11-12,
3,24  Tues.,路 15, 申 13-14,
3,25  Wed.,路 16, 申 15-16,
3,26  Thurs.,路 17, 申 17-18,
3,27  Fri.,路 18, 申 19-20,創 9
3,28  Sat.,詩 25, 申 21-22,
3,29  Sun.,詩 26, 申 23-24,
3,30  Mon.,路 19,申 25-26,
3,31 Tues.,路 20, 申 27-28,
4,1  Wed.,路 21,申  29-30,
4,2  Thurs.,路 22, 申 31-32,
4,3  Fri.,路 23, 申 33-34,溫習
4,4  Sat.,詩 27-28,書 1-3,
4,5  Sun.,詩 29,書 4-6,
4,6  Mon.,路 24,書 7-9,
4,7  Tues., 約1 ,書 10-12,
4,8  Wed.,約2,書 13-15,
4,9  Thurs.,約3,書 16-18,
4,10  Fri.,約4,書 19-21,創 10-11
4,11  Sat.,詩 30-31,書 22-24,
4,12  Sun.,詩 32,士 1-3,
4,13  Mon.,約5,士 4-6,
4,14  Tues.,約6,士 7-9,
4,15  Wed.,約7,士 10-12,
4,16  Thurs.,約8,士 13-15,
4,17  Fri.,約9,士 16-18,創 12
4,18  Sat.,詩 33-34,士 19-21,
4,19  Sun.,詩 35, 得 1-4,
4,20  Mon.,約10,撒上 1-3,
4,21  Tues.,約11,撒上 4-6,
4,22  Wed.,約12,撒上 7-9,
4,23  Thurs.,約13,撒上 10-12,
4,24  Fri.,約14,撒上 13-15,創 13
4,25  Sat.,詩 36-37,撒上 16-18,
4,26  Sun.,詩 38,撒上 19-21,
4,27  Mon.,約15,撒上 22-24,
4,28  Tues.,約16,撒上 25-27,
4,29  Wed.,約 17,撒上 28-29,
4,30  Thurs.,約18,撒上 30-31,
5,1  Fri.,約19,撒下  1-2,創 14
5,2  Sat. ,詩39-40,撒下  3-4,
5,3  Sun. ,詩 41 ,撒下   5-6,
5,4  Mon.,約20,撒下  7-8,
5,5  Tues.,約21,撒下  9-10,
5,6  Wed.,徒 1 ,撒下  11-12,
5,7 Thurs.,徒 2 ,撒下 13-14,
5,8  Fri.,徒 3,撒下 15-16,創 15
5,9  Sat. ,詩 42-43,撒下 17-18,
5,10  Sun. ,詩 44  ,撒下 19-20,
5,11  Mon.,徒 4 ,撒下 21-22,
5,12  Tues.,徒 5 ,撒下 23-24,
5,13  Wed.,徒 6,王上  1-2,
5,14 Thurs.,徒 7,王上  3-5,
5,15  Fri.,徒 8 ,王上  6-7,溫習
5,16  Sat. ,詩 45-46,王上  8,
5,17  Sun. ,詩 47-48,王上  9-10,
5,18  Mon.,徒 9,王上  11-12,
5,19  Tues.,徒 10,王上  13-14,
5,20  Wed.,徒 11,王上  15-16,
5,21 Thurs.,徒 12 ,王上  17-18,
5,22  Fri.,徒 13,王上  19-20,創 16:1-18:15
5,23  Sat. ,詩 49,王上  21-22,
5,24  Sun. ,詩 50,王下  1-2,
5,25  Mon.,徒 14,王下  3-4,
5,26  Tues.,徒 15,王下  5-6,
5,27  Wed.,徒 16,王下  7-8,
5,28 Thurs.,徒 17,王下  9-10,
5,29  Fri.,徒 18,王下 11-12,創 18:16-19:38
5,30  Sat. ,詩 51,王下  13-14,
5,31 Sun.,詩 52-53,王下 15-16,
6,1  Mon.,徒 19,王下 17-18,
6,2  Tues.,徒 20,王下  19-20,
6,3  Wed.,徒 21,王下  21-22,
6,4  Thurs.,徒 22,王下  23-25,
6,5  Fri.,徒 23,代上 1-2,創 20
6,6  Sat.,詩 54-55,代上  3-4 ,
6,7  Sun.,詩 56,代上 5-6,
6,8  Mon.,徒 24,代上 7-8,
6,9  Tues.,徒 25,代上 9-10,
6,10  Wed.,徒 26,代上 11-12,
6,11 Thurs.,徒 27,代上  13-14,
6,12  Fri.,徒 28,代上  15-16,創 21
6,13  Sat.,詩 57-58,代上  17-18,
