Month,Date,Reading A,Reading B,Study
1,1  Wed.,Mat. 1,Gen. 1-2,
1,2  Thurs.,Mat. 2,Gen. 3-4,
1,3  Fri.,Mat. 3,Gen. 5-6,Sharing
1,4  Sat.,Psa. 1,Gen  7-8,
1,5  Sun.,Psa. 2,Gen. 9-10,
1,6  Mon.,Mat. 4,Gen. 11-12,
1,7  Tues.,Mat. 5,Gen. 13-14,
1,8  Wed.,Mat. 6 ,Gen. 15-16,
1,9  Thurs.,Mat. 7 ,Gen. 17-18,
1,10  Fri.,Mat. 8,Gen. 19-20,2 Tim. 1
1,11  Sat.,Psa. 3,Gen. 21-22,
1,12  Sun.,Psa. 4,Gen. 23-24,
1,13  Mon.,Mat. 9,Gen. 25-26,
1,14  Tues.,Mat. 10,Gen. 27-28,
1,15  Wed.,Mat. 11 ,Gen. 29-30,
1,16  Thurs.,Mat. 12 ,Gen. 31-32,
1,17  Fri.,Mat. 13,Gen. 33-34,2 Tim. 2
1,18  Sat.,Psa.  5,Gen. 35-36,
1,19  Sun.,Psa.  6,Gen. 37-38,
1,20  Mon.,Mat. 14,Gen. 39-40,
1,21  Tues.,Mat. 15,Gen. 41-42,
1,22  Wed.,Mat. 16,Gen. 43-44,
1,23  Thurs.,Mat. 17,Gen. 45-46,
1,24  Fri.,Mat. 18,Gen. 47-48, 
1,25  Sat.,Psa. 7,Gen. 49-50,
1,26  Sun.,Psa.  8,Exo. 1-2,
1,27  Mon.,Mat. 19,Exo. 3-4,
1,28  Tues.,Mat. 20,Exo. 5-6,
1,29  Wed.,Mat. 21,Exo. 7-8,
1,30  Thurs.,Mat. 22,Exo. 9-10,
1,31   Fri.,Mat. 23,Exo. 11-12,2 Tim. 4
2,1  Sat.,Psa. 9,Exo. 13-14,
2,2  Sun.,Psa. 10,Exo. 15-16,
2,3  Mon.,Mat. 24,Exo. 17-18,
2,4  Tues.,Mat. 25,Exo. 19-20,
2,5  Wed.,Mat. 26 ,Exo. 21-22,
2,6  Thurs.,Mat. 27 ,Exo. 23-24,
2,7  Fri.,Mat. 28,Exo. 25-26,Review
2,8  Sat. ,Psa. 11,Exo. 27-28,
2,9  Sun. ,Psa. 12,Exo. 29-30,
2,10  Mon.,Mark  1,Exo. 31-32,
2,11  Tues.,Mark  2,Exo. 33-34,
2,12  Wed.,Mark 3,Exo. 35-36,
2,13  Thurs.,Mark  4,Exo. 37-38,
2,14  Fri.,Mark  5,Exo. 39-40,Gen. 1
2,15  Sat. ,Psa. 13,Lev. 1-2,
2,16  Sun. ,Psa.  14,Lev. 3-4,
2,17  Mon.,Mark  6,Lev. 5-6,
2,18  Tues.,Mark 7,Lev. 7-8,
2,19  Wed.,Mark  8,Lev. 9-10,
2,20  Thurs.,Mark  9,Lev. 11-12,
2,21  Fri.,Mark  10,Lev. 13-14,Gen. 2
2,22  Sat. ,Psa. 15,Lev. 15-16,
2,23  Sun. ,Psa. 16,Lev. 17-18,
2,24  Mon.,Mark 11,Lev. 19-20,
2,25  Tues.,Mark  12,Lev. 21-22,
2,26  Wed.,Mark  13,Lev. 23-24,
2,27  Thurs.,Mark  14,Lev. 25-27,
2,28  Fri.,Mark  15,Num.1-2,Gen. 3
2,29  Sat. ,Psa. 17,Num. 3-4,
3,1  Sun.,Psa. 18,Num. 5-6,
3,2  Mon.,Mark  16,Num. 7,
3,3  Tues.,Luke 1:1~38,Num. 8-9,
3,4  Wed.,Luke 1:39~80,Num. 10,
3,5  Thurs.,Luke 2,Num. 11~12,
3,6  Fri.,Luke 3,Num. 13-14,Gen. 4
3,7  Sat.,Psa. 19,Num.15-16,
3,8  Sun.,Psa. 20,Num. 17-18,
3,9  Mon.,Luke 4,Num.19-20,
3,10  Tues.,Luke 5,Num. 21-22,
3,11  Wed.,Luke 6,Num. 23-24,
3,12  Thurs.,Luke 7,Num. 25-26,
3,13  Fri.,Luke 8,Num. 27-28,Gen. 5-6
3,14  Sat.,Psa. 21,Num. 29-30,
3,15  Sun.,Psa. 22,Num. 31-32,
3,16  Mon.,Luke 9,Num. 33-34,
3,17  Tues.,Luke 10,Num.35-36,
3,18  Wed.,Luke 11,Deu. 1-2,
3,19  Thurs.,Luke 12,Deu. 3-4,
3,20  Fri.,Luke 13,Deu. 5-6,Gen. 7-8
3,21  Sat.,Psa. 23,Deu. 7-8,
3,22  Sun.,Psa. 24,Deu. 9-10,
3,23  Mon.,Luke 14,Deu. 11-12,
3,24  Tues.,Luke 15,Deu. 13-14,
3,25  Wed.,Luke 16,Deu. 15-16,
3,26  Thurs.,Luke 17,Deu. 17-18,
3,27  Fri.,Luke 18,Deu. 19-20,Gen. 9
3,28  Sat.,Psa. 25,Deu. 21-22,
3,29  Sun.,Psa. 26,Deu. 23-24,
3,30  Mon.,Luke 19,Deu. 25-26,
3,31 Tues.,Luke 20,Deu. 27-28,
4,1  Wed.,Luke 21,Deu. 29-30,
4,2  Thurs.,Luke 22,Deu. 31-32,
4,3  Fri.,Luke 23,Deu. 33-34,Review
4,4  Sat.,Psa. 27-28,Jos. 1-3,
4,5  Sun.,Psa. 29,Jos. 4-6,
4,6  Mon.,Luke 24,Jos. 7-9,
4,7  Tues.,John 1,Jos. 10-12,
4,8  Wed.,John 2,Jos. 13-15,
4,9  Thurs.,John 3,Jos. 16-18,
4,10  Fri.,John 4,Jos. 19-21,Gen. 10-11
4,11  Sat.,Psa. 30-31,Jos. 22-24,
4,12  Sun.,Psa. 32,Judg. 1-3,
4,13  Mon.,John 5,Judg. 4-6,
4,14  Tues.,John 6,Judg. 7-9,
4,15  Wed.,John 7,Judg. 10-12,
4,16  Thurs.,John 8,Judg. 13-15,
4,17  Fri.,John 9,Judg. 16-18,Gen. 12
4,18  Sat.,Psa. 33-34,Judg. 19-21,
4,19  Sun.,Psa. 35,Ruth 1-4,
4,20  Mon.,John 10,1 Sam. 1-3,
4,21  Tues.,John 11,1 Sam. 4-6,
4,22  Wed.,John 12,1 Sam. 7-9,
4,23  Thurs.,John 13,1 Sam. 10-12,
4,24  Fri.,John 14,1 Sam. 13-15,Gen. 13
4,25  Sat.,Psa. 36-37,1 Sam. 16-18,
4,26  Sun.,Psa. 38,1 Sam. 19-21,
4,27  Mon.,John 15,1 Sam. 22-24,
4,28  Tues.,John 16,1 Sam. 25-27,
4,29  Wed.,John  17,1 Sam. 28-29,
4,30  Thurs.,John 18,1 Sam. 30-31,
5,1  Fri.,John 19,2 Sam. 1-2,Gen. 14
5,2  Sat. ,Psa. 39-40,2 Sam. 3-4,
5,3  Sun. ,Psa. 41 ,2 Sam. 5-6,
5,4  Mon.,John 20,2 Sam. 7-8,
5,5  Tues.,John 21,2 Sam. 9-10,
5,6  Wed.,Acts 1 ,2 Sam. 11-12,
5,7 Thurs.,Acts 2 ,2 Sam. 13-14,
5,8  Fri.,Acts 3,2 Sam. 15-16,Gen. 15
5,9  Sat. ,Psa. 42-43,2 Sam. 17-18,
5,10  Sun. ,Psa. 44  ,2 Sam. 19-20,
5,11  Mon.,Acts 4 ,2 Sam. 21-22,
5,12  Tues.,Acts 5 ,2 Sam. 23-24,
5,13  Wed.,Acts 6,1 Kin. 1-2,
5,14 Thurs.,Acts 7,1 Kin. 3-5,
5,15  Fri.,Acts 8 ,1 Kin. 6-7,Review
5,16  Sat. ,Psa. 45-46,1 Kin. 8,
5,17  Sun. ,Psa. 47-48,1 Kin. 9-10,
5,18  Mon.,Acts 9,1 Kin. 11-12,
5,19  Tues.,Acts 10,1 Kin. 13-14,
5,20  Wed.,Acts 11,1 Kin. 15-16,
5,21 Thurs.,Acts 12 ,1 Kin. 17-18,
5,22  Fri.,Acts 13,1 Kin. 19-20,Gen. 16:1-18:15
5,23  Sat. ,Psa. 49,1 Kin. 21-22,
5,24  Sun. ,Psa. 50,2 Kin. 1-2,
5,25  Mon.,Acts 14,2 Kin. 3-4,
5,26  Tues.,Acts 15,2 Kin. 5-6,
5,27  Wed.,Acts 16,2 Kin. 7-8,
5,28 Thurs.,Act. 17,2 Kin. 9-10,
5,29  Fri.,Acts 18,2 Kin. 11-12,Gen.18:16-19:38
5,30  Sat. ,Psa. 51,2 Kin. 13-14,
5,31 Sun.,Psa. 52-53,2 Kin. 15-16,
6,1  Mon.,Acts 19,2 Kin. 17-18,
6,2  Tues.,Acts 20,2 Kin. 19-20,
6,3  Wed.,Acts 21,2 Kin. 21-22,
6,4  Thurs.,Acts 22,2 Kin. 23-25,
6,5  Fri.,Acts 23,1 Chr. 1-2,Gen. 20
6,6  Sat.,Psa. 54-55,1 Chr. 3-4 ,
6,7  Sun.,Psa. 56,1 Chr. 5-6,
6,8  Mon.,Acts 24,1 Chr. 7-8,
6,9  Tues.,Acts 25,1 Chr. 9-10,
6,10  Wed.,Acts 26,1 Chr. 11-12,
6,11 Thurs.,Acts 27,1 Chr. 13-14,
6,12  Fri.,Acts 28,1 Chr. 15-16,Gen. 21
6,13  Sat.,Psa. 57-58,1 Chr. 17-18,
6,14  Sun.,Psa. 59,1 Chr. 19-20,
6,15  Mon.,Rom. 1,1 Chr. 21-22,
6,16  Tues.,Rom. 2,1 Chr. 23-24,
6,17  Wed.,Rom. 3,1 Chr. 25-26,
6,18  Thurs.,Rom. 4,1 Chr. 27-29,
6,19  Fri.,Rom. 5,2 Chr. 1-2,Gen. 22
6,20  Sat.,Psa. 60-61,2 Chr. 3-4,
6,21  Sun.,Psa. 62,2 Chr. 5-6,
6,22  Mon.,Rom. 6,2 Chr. 7-8,
6,23  Tues.,Rom. 7,2 Chr. 9-10,
6,24  Wed.,Rom. 8,2 Chr. 11-12,
6,25 Thurs.,Rom. 9,2 Chr. 13-14,
6,26  Fri.,Rom. 10,2 Chr. 15-16,Review
6,27  Sat.,Psa. 63-64,2 Chr. 17-18,
6,28  Sun.,Psa. 65,2 Chr. 19-20,
6,29  Mon.,Rom. 11,2 Chr. 21-22,
6,30  Tues.,Rom. 12,2 Chr. 23-24,
7,1  Wed.,Rom. 13,2 Chr. 25-26,
7,2  Thurs.,Rom. 14,2 Chr. 27-28,
7,3  Fri.,Rom. 15,2 Chr. 29-30,Gen. 23
7,4  Sat.,Psa. 66-67,2 Chr. 31-32,
7,5  Sun.,Psa. 68,2 Chr. 33-34,
7,6  Mon.,Rom. 16,2 Chr. 35-36,
7,7  Tues.,1 Cor. 1,Ezr. 1-2,
7,8  Wed.,1 Cor. 2,Ezr. 3-5,
7,9  Thurs.,1 Cor. 3,Ezr. 6-8,
7,10  Fri.,1 Cor. 4,Ezr. 9-10,Gen. 24
7,11  Sat.,Psa. 69-70 ,Neh. 1-2,
7,12  Sun.,Psa. 71,Neh. 3-5,
7,13  Mon.,1 Cor. 5,Neh. 6-7,
7,14  Tues.,1 Cor. 6,Neh. 8-10,
7,15  Wed.,1 Cor. 7,Neh. 11-13,
7,16  Thurs.,1 Cor. 8,Est. 1-3,
7,17  Fri.,1 Cor. 9,Est. 4-6,Gen. 25
7,18  Sat.,Psa. 72-73,Est. 7-10,
7,19  Sun.,Psa.74,Job 1-3,
7,20  Mon.,1 Cor. 10,Job 4-6,
7,21  Tues.,1 Cor. 11,Job 7-8,
7,22  Wed.,1 Cor. 12,Job 9-11,
7,23  Thurs.,1 Cor. 13,Job 12-14,
7,24  Fri.,1 Cor. 14,Job 15-17,Review
7,25  Sat.,Psa. 75-76,Job 18-19,
7,26  Sun.,Psa. 77,Job 20-21,
7,27  Mon.,1 Cor. 15,Job 22-24,
7,28  Tues.,1 Cor. 16,Job 25-28,
7,29  Wed.,2 Cor. 1,Job 29-31,
7,30  Thurs.,2 Cor. 2,Job 32-33,
7,31   Fri.,2 Cor. 3,Job 34-35,Sharing
8,1  Sat.,Psa. 78,Job 36-37,
8,2  Sun.,Psa. 79-80,Job 38-39,
8,3  Mon.,2 Cor. 4,Job 40-42,
8,4  Tues.,2 Cor. 5,Pro. 1-2,
8,5  Wed.,2 Cor. 6,Pro. 3-4,
8,6  Thurs.,2 Cor. 7,Pro. 5-6,
8,7  Fri.,2 Cor. 8,Pro. 7-8,Gen. 26
8,8  Sat. ,Psa. 81-82,Pro. 9-10,
8,9  Sun. ,Psa. 83,Pro. 11-12,
8,10  Mon.,2 Cor. 9,Pro. 13-14,
8,11  Tues.,2 Cor. 10,Pro. 15-16,
8,12  Wed.,2 Cor. 11,Pro. 17-18,
8,13  Thurs.,2 Cor. 12,Pro. 19-20,
8,14  Fri.,2 Cor. 13,Pro. 21-22,Gen. 27
8,15  Sat. ,Psa. 84-85,Pro. 23-24,
